"gaul1_code","map_code","gaul0_name","gaul1_name","continent","disp_en"
"1612","ZAF","South Africa","Mpumalanga","Africa","Mpumalanga, South Africa"
"1031","DZA","Algeria","Naama","Africa","Naama, Algeria"
"2990","SYR","Syrian Arab Republic","As-Sweida","Asia","As-Sweida, Syrian Arab Republic"
"1784","BHS","Bahamas","Exuma","America","Exuma, Bahamas"
"3867","SVK","Slovakia","Žilinský kraj","Europe","Žilinský kraj, Slovakia"
"3371","HRV","Croatia","Sisak","Europe","Sisak, Croatia"
"2053","GTM","Guatemala","Retalhuleu","America","Retalhuleu, Guatemala"
"2917","PHL","Philippines","Region I (Ilocos Region)","Asia","Region I (Ilocos Region), Philippines"
"2463","BHR","Bahrain","Hidd","Asia","Hidd, Bahrain"
"2996","SYR","Syrian Arab Republic","Idleb","Asia","Idleb, Syrian Arab Republic"
"3478","GRC","Greece","Peloponnisoy Dytikis Elladas kai Ionioy Nison","Europe","Peloponnisoy Dytikis Elladas kai Ionioy Nison, Greece"
"3120","TUR","Türkiye","Bitlis","Asia","Bitlis, Türkiye"
"2605","IND","India","Puducherry","Asia","Puducherry, India"
"2054","GTM","Guatemala","Sacatepéquez","America","Sacatepéquez, Guatemala"
"2690","IRQ","Iraq","Duhok","Asia","Duhok, Iraq"
"3480","GGY","Guernsey","Alderney","Europe","Alderney, Guernsey"
"1892","CYM","Cayman Islands","East End","America","East End, Cayman Islands"
"2048","GTM","Guatemala","Jalapa","America","Jalapa, Guatemala"
"1356","KEN","Kenya","Busia","Africa","Busia, Kenya"
"1274","GNQ","Equatorial Guinea","Bioko Sur","Africa","Bioko Sur, Equatorial Guinea"
"3938","CHE","Switzerland","Solothurn","Europe","Solothurn, Switzerland"
"4011","NZL","New Zealand","Area Outside Region","Oceania","Area Outside Region, New Zealand"
"2427","AFG","Afghanistan","Samangan","Asia","Samangan, Afghanistan"
"2450","AZE","Azerbaijan","Gazakh-Tovuz Economic Region","Asia","Gazakh-Tovuz Economic Region, Azerbaijan"
"2196","PRY","Paraguay","Paraguarí","America","Paraguarí, Paraguay"
"3421","EST","Estonia","Viljandi maakond","Europe","Viljandi maakond, Estonia"
"2176","PAN","Panama","Kuna Yala","America","Kuna Yala, Panama"
"2962","SAU","Saudi Arabia","Makkah Al Mukarramah","Asia","Makkah Al Mukarramah, Saudi Arabia"
"3214","VNM","Viet Nam","Binh Phuoc","Asia","Binh Phuoc, Viet Nam"
"1805","BRB","Barbados","Christ Church","America","Christ Church, Barbados"
"1811","BRB","Barbados","Saint Lucy","America","Saint Lucy, Barbados"
"3706","POL","Poland","Warmińsko-Mazurskie","Europe","Warmińsko-Mazurskie, Poland"
"1297","ETH","Ethiopia","Sidama","Africa","Sidama, Ethiopia"
"1687","TZA","United Republic of Tanzania","Katavi","Africa","Katavi, United Republic of Tanzania"
"1482","MAR","Morocco","Souss-Massa","Africa","Souss-Massa, Morocco"
"2608","IND","India","Sikkim","Asia","Sikkim, India"
"3633","MLT","Malta","Gozo Region","Europe","Gozo Region, Malta"
"1643","SDN","Sudan","West Kordofan","Africa","West Kordofan, Sudan"
"1377","KEN","Kenya","Marsabit","Africa","Marsabit, Kenya"
"2752","JPN","Japan","Ōita","Asia","Ōita, Japan"
"1924","COL","Colombia","Choco","America","Choco, Colombia"
"3361","HRV","Croatia","Dubrovnik","Europe","Dubrovnik, Croatia"
"1798","BHS","Bahamas","Rum Cay","America","Rum Cay, Bahamas"
"1410","LBR","Liberia","Bomi","Africa","Bomi, Liberia"
"3761","MDA","Republic of Moldova","Orhei","Europe","Orhei, Republic of Moldova"
"3243","VNM","Viet Nam","Long An","Asia","Long An, Viet Nam"
"3222","VNM","Viet Nam","Dien Bien","Asia","Dien Bien, Viet Nam"
"2662","IRN","Iran (Islamic Republic Of)","Kermanshah","Asia","Kermanshah, Iran (Islamic Republic Of)"
"1062","AGO","Angola","Malanje","Africa","Malanje, Angola"
"3790","ROU","Romania","Dambovita","Europe","Dambovita, Romania"
"3673","MKD","North Macedonia","East","Europe","East, North Macedonia"
"2415","AFG","Afghanistan","Kunar","Asia","Kunar, Afghanistan"
"3215","VNM","Viet Nam","Binh Thuan","Asia","Binh Thuan, Viet Nam"
"2405","AFG","Afghanistan","Faryab","Asia","Faryab, Afghanistan"
"2647","IDN","Indonesia","Sumatera Selatan","Asia","Sumatera Selatan, Indonesia"
"3559","IMN","Isle of Man","Lonan","Europe","Lonan, Isle of Man"
"1893","CYM","Cayman Islands","George Town","America","George Town, Cayman Islands"
"2292","TTO","Trinidad And Tobago","Tunapuna/Piarco","America","Tunapuna/Piarco, Trinidad And Tobago"
"2512","KHM","Cambodia","Kep","Asia","Kep, Cambodia"
"1222","COD","Democratic Republic of the Congo","Kwango","Africa","Kwango, Democratic Republic of the Congo"
"2568","PRK","Democratic People's Republic of Korea","North Hwanghae","Asia","North Hwanghae, Democratic People's Republic of Korea"
"2276","SUR","Suriname","Sipaliwini","America","Sipaliwini, Suriname"
"2589","IND","India","Disputed (West Bengal, Bihar & Jharkhand)","Asia","Disputed (West Bengal, Bihar & Jharkhand), India"
"2044","GTM","Guatemala","Escuintla","America","Escuintla, Guatemala"
"2226","PRI","Puerto Rico","Arecibo","America","Arecibo, Puerto Rico"
"1936","COL","Colombia","Putumayo","America","Putumayo, Colombia"
"3775","ROU","Romania","Arad","Europe","Arad, Romania"
"1012","DZA","Algeria","Bouira","Africa","Bouira, Algeria"
"3101","TKM","Turkmenistan","Tashauz","Asia","Tashauz, Turkmenistan"
"1507","NAM","Namibia","Otjozondjupa","Africa","Otjozondjupa, Namibia"
"2052","GTM","Guatemala","Quiché","America","Quiché, Guatemala"
"2101","JAM","Jamaica","Kingston","America","Kingston, Jamaica"
"2057","GTM","Guatemala","Sololá","America","Sololá, Guatemala"
"1454","MRT","Mauritania","Inchiri","Africa","Inchiri, Mauritania"
"2341","USA","United States of America","Rhode Island","America","Rhode Island, United States of America"
"3799","ROU","Romania","Ilfov","Europe","Ilfov, Romania"
"2491","BTN","Bhutan","Samtse","Asia","Samtse, Bhutan"
"2638","IDN","Indonesia","Papua","Asia","Papua, Indonesia"
"3548","IMN","Isle of Man","Andreas","Europe","Andreas, Isle of Man"
"3832","SRB","Serbia","Kolubarski","Europe","Kolubarski, Serbia"
"3423","FRO","Faroe Islands","Administrative Unit Not Available","Europe","Faroe Islands"
"4038","PNG","Papua New Guinea","Enga Province","Oceania","Enga Province, Papua New Guinea"
"1537","NGA","Nigeria","Katsina","Africa","Katsina, Nigeria"
"1998","ECU","Ecuador","Guayas","America","Guayas, Ecuador"
"1494","MOZ","Mozambique","Zambézia","Africa","Zambézia, Mozambique"
"3227","VNM","Viet Nam","Ha Nam","Asia","Ha Nam, Viet Nam"
