gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
131360,THA,Thailand,Prachin Buri,Na Di,Asia,"Na Di, Prachin Buri, Thailand"
131397,THA,Thailand,Roi Et,Chaturaphak Phiman,Asia,"Chaturaphak Phiman, Roi Et, Thailand"
131361,THA,Thailand,Prachin Buri,Prachantakham,Asia,"Prachantakham, Prachin Buri, Thailand"
131362,THA,Thailand,Prachin Buri,Si Maha Phot,Asia,"Si Maha Phot, Prachin Buri, Thailand"
131363,THA,Thailand,Prachin Buri,Si Mahosot,Asia,"Si Mahosot, Prachin Buri, Thailand"
131364,THA,Thailand,Prachuap Khiri Khan,Bang Saphan,Asia,"Bang Saphan, Prachuap Khiri Khan, Thailand"
131365,THA,Thailand,Prachuap Khiri Khan,Bang Saphan Noi,Asia,"Bang Saphan Noi, Prachuap Khiri Khan, Thailand"
131374,THA,Thailand,Ranong,La-Un,Asia,"La-Un, Ranong, Thailand"
131375,THA,Thailand,Ranong,Mueang Ranong,Asia,"Mueang Ranong, Ranong, Thailand"
131376,THA,Thailand,Ranong,Suk Samran,Asia,"Suk Samran, Ranong, Thailand"
131377,THA,Thailand,Ratchaburi,Ban Kha,Asia,"Ban Kha, Ratchaburi, Thailand"
131378,THA,Thailand,Ratchaburi,Ban Pong,Asia,"Ban Pong, Ratchaburi, Thailand"
131380,THA,Thailand,Ratchaburi,Chom Bueng,Asia,"Chom Bueng, Ratchaburi, Thailand"
131382,THA,Thailand,Ratchaburi,Mueang Ratchaburi,Asia,"Mueang Ratchaburi, Ratchaburi, Thailand"
131610,THA,Thailand,Ubon Ratchathani,Na Tan,Asia,"Na Tan, Ubon Ratchathani, Thailand"
131383,THA,Thailand,Ratchaburi,Pak Tho,Asia,"Pak Tho, Ratchaburi, Thailand"
131384,THA,Thailand,Ratchaburi,Photharam,Asia,"Photharam, Ratchaburi, Thailand"
131385,THA,Thailand,Ratchaburi,Suan Phueng,Asia,"Suan Phueng, Ratchaburi, Thailand"
131386,THA,Thailand,Ratchaburi,Wat Phleng,Asia,"Wat Phleng, Ratchaburi, Thailand"
131387,THA,Thailand,Rayong,Ban Chang,Asia,"Ban Chang, Rayong, Thailand"
131388,THA,Thailand,Rayong,Ban Khai,Asia,"Ban Khai, Rayong, Thailand"
131944,TUR,Türkiye,Bitlis,Tatvan,Asia,"Tatvan, Bitlis, Türkiye"
131389,THA,Thailand,Rayong,Khao Chamao,Asia,"Khao Chamao, Rayong, Thailand"
131390,THA,Thailand,Rayong,Klaeng,Asia,"Klaeng, Rayong, Thailand"
131391,THA,Thailand,Rayong,Mueang Rayong,Asia,"Mueang Rayong, Rayong, Thailand"
131392,THA,Thailand,Rayong,Nikhom Phatthana,Asia,"Nikhom Phatthana, Rayong, Thailand"
131399,THA,Thailand,Roi Et,Kaset Wisai,Asia,"Kaset Wisai, Roi Et, Thailand"
131393,THA,Thailand,Rayong,Pluak Daeng,Asia,"Pluak Daeng, Rayong, Thailand"
131394,THA,Thailand,Rayong,Wang Chan,Asia,"Wang Chan, Rayong, Thailand"
131400,THA,Thailand,Roi Et,Moei Wadi,Asia,"Moei Wadi, Roi Et, Thailand"
131395,THA,Thailand,Roi Et,At Samat,Asia,"At Samat, Roi Et, Thailand"
131403,THA,Thailand,Roi Et,Nong Hi,Asia,"Nong Hi, Roi Et, Thailand"
131396,THA,Thailand,Roi Et,Changhan,Asia,"Changhan, Roi Et, Thailand"
132315,TUR,Türkiye,Kayseri,Akkisla,Asia,"Akkisla, Kayseri, Türkiye"
131398,THA,Thailand,Roi Et,Chiang Khwan,Asia,"Chiang Khwan, Roi Et, Thailand"
131411,THA,Thailand,Roi Et,Si Somdet,Asia,"Si Somdet, Roi Et, Thailand"
131401,THA,Thailand,Roi Et,Mueang Roi Et,Asia,"Mueang Roi Et, Roi Et, Thailand"
131402,THA,Thailand,Roi Et,Mueang Suang,Asia,"Mueang Suang, Roi Et, Thailand"
131404,THA,Thailand,Roi Et,Nong Phok,Asia,"Nong Phok, Roi Et, Thailand"
131405,THA,Thailand,Roi Et,Pathum Rat,Asia,"Pathum Rat, Roi Et, Thailand"
131406,THA,Thailand,Roi Et,Phanom Phrai,Asia,"Phanom Phrai, Roi Et, Thailand"
131407,THA,Thailand,Roi Et,Pho Chai,Asia,"Pho Chai, Roi Et, Thailand"
131408,THA,Thailand,Roi Et,Phon Sai,Asia,"Phon Sai, Roi Et, Thailand"
131414,THA,Thailand,Roi Et,Thung Khao Luang,Asia,"Thung Khao Luang, Roi Et, Thailand"
131409,THA,Thailand,Roi Et,Phon Thong,Asia,"Phon Thong, Roi Et, Thailand"
131410,THA,Thailand,Roi Et,Selaphum,Asia,"Selaphum, Roi Et, Thailand"
132319,TUR,Türkiye,Kayseri,Hacilar,Asia,"Hacilar, Kayseri, Türkiye"
131412,THA,Thailand,Roi Et,Suwannaphum,Asia,"Suwannaphum, Roi Et, Thailand"
131432,THA,Thailand,Sakon Nakhon,Nikhom Nam Un,Asia,"Nikhom Nam Un, Sakon Nakhon, Thailand"
131413,THA,Thailand,Roi Et,Thawat Buri,Asia,"Thawat Buri, Roi Et, Thailand"
106122,TUN,Tunisia,Monastir,Jammel,Africa,"Jammel, Monastir, Tunisia"
131415,THA,Thailand,Sa Kaeo,Aranyaprathet,Asia,"Aranyaprathet, Sa Kaeo, Thailand"
106123,TUN,Tunisia,Monastir,Ksar Helal,Africa,"Ksar Helal, Monastir, Tunisia"
131416,THA,Thailand,Sa Kaeo,Khao Chakan,Asia,"Khao Chakan, Sa Kaeo, Thailand"
106126,TUN,Tunisia,Monastir,Monastir,Africa,"Monastir, Monastir, Tunisia"
106127,TUN,Tunisia,Monastir,Ouerdanine,Africa,"Ouerdanine, Monastir, Tunisia"
106128,TUN,Tunisia,Monastir,Sahline,Africa,"Sahline, Monastir, Tunisia"
131417,THA,Thailand,Sa Kaeo,Khlong Hat,Asia,"Khlong Hat, Sa Kaeo, Thailand"
131418,THA,Thailand,Sa Kaeo,Khok Sung,Asia,"Khok Sung, Sa Kaeo, Thailand"
131419,THA,Thailand,Sa Kaeo,Mueang Sa Kaeo,Asia,"Mueang Sa Kaeo, Sa Kaeo, Thailand"
131420,THA,Thailand,Sa Kaeo,Ta Phraya,Asia,"Ta Phraya, Sa Kaeo, Thailand"
131421,THA,Thailand,Sa Kaeo,Wang Nam Yen,Asia,"Wang Nam Yen, Sa Kaeo, Thailand"
131433,THA,Thailand,Sakon Nakhon,Phang Khon,Asia,"Phang Khon, Sakon Nakhon, Thailand"
131422,THA,Thailand,Sa Kaeo,Wang Sombun,Asia,"Wang Sombun, Sa Kaeo, Thailand"
